,seeds,a82fed9,5d53d16,1a8d73d,5929c6b,228b9fd,613b70d,max,vs max,vs others,win
70,71,511243,499529,517137,364619,350915,347874,769375,0.6644913078797725,0.9886026333447423,0.5985915492957746
71,72,4542,4542,4542,4542,4373,4469,4548,0.9986807387862797,1.0,0.5972222222222222
72,73,67964,68073,67728,63553,54876,63801,72114,0.942452228416119,0.9983987777826745,0.589041095890411
73,74,53822,53352,53320,48301,44331,48505,60466,0.8901200674759369,1.0088094167041535,0.5945945945945946
74,75,285430,285141,284295,249191,227100,241980,334298,0.8538190476760256,1.0010135336552792,0.6
75,76,74515,74515,75914,62487,59726,57675,105140,0.7087217043941412,0.9815712516795321,0.5921052631578947
76,77,900325,900984,892622,584597,572064,584549,1211699,0.7430269398588263,0.9992685774664145,0.5844155844155844
77,78,1200556,1191596,1202366,946573,905727,907234,1658835,0.7237344280775363,0.9984946347451608,0.5769230769230769
78,79,73839,73839,73800,70453,68867,70722,77856,0.9484047472256474,1.0,0.5759493670886076
79,80,327493,327547,327424,271245,251083,288993,372036,0.8802723392359879,0.9998351381633781,0.56875
80,81,548705,548935,551799,424470,390146,404098,759474,0.7224802955729887,0.9943928858153059,0.5617283950617284
81,82,71807,71807,71895,68182,65008,66737,75908,0.9459740738789061,0.99877599276723,0.5548780487804879
82,83,4432,4432,4432,4444,4245,4304,4867,0.9106225600986234,0.9972997299729973,0.5481927710843374
83,84,100722,98363,100229,85857,76838,80348,130501,0.7718101776997878,1.004918736094344,0.5535714285714286
84,85,198564,198292,198304,189377,180769,189114,211245,0.9399701768089186,1.00131111828304,0.5588235294117647
85,86,850294,850339,848334,671051,636633,683454,1039051,0.8183371172348615,0.9999470799292988,0.5523255813953488
86,87,107817,107745,107600,88601,78067,82036,126900,0.8496217494089835,1.0006682444661006,0.5574712643678161
87,88,189108,186583,188979,155421,147939,139886,257642,0.7339952336963694,1.0006826155287096,0.5625
88,89,69408,69387,69061,67933,62243,66712,72765,0.953865182436611,1.0003026503523715,0.5674157303370787
89,90,29993,29993,29875,29068,27696,28226,32264,0.9296119514009422,1.0,0.5666666666666667
90,91,196788,192246,189196,149772,136359,135515,279328,0.7045050979493642,1.0236259792141318,0.5714285714285714
91,92,273293,272999,274128,241805,228289,233483,330951,0.8257808557762327,0.9969539777038464,0.5652173913043478
92,93,38188,38188,37607,33042,32405,32974,42773,0.8928062095247001,1.0,0.5645161290322581
93,94,107709,107837,107599,95236,91734,93155,125876,0.8556754266103149,0.9988130233593293,0.5585106382978723
94,95,156848,156521,156288,150045,147949,149180,172178,0.9109642346873584,1.0020891765322224,0.5631578947368421
95,96,67985,67811,67717,62078,57608,58544,78288,0.8683961782137748,1.0025659553759714,0.5677083333333334
96,97,239678,231704,233496,157934,140522,159858,356288,0.672708595293695,1.0264758282797135,0.5721649484536082
97,98,747620,742275,750515,528822,502700,529706,964775,0.7749164312922702,0.9961426487145494,0.5663265306122449
98,99,773823,764984,761478,604508,570199,564737,1056083,0.7327293404022222,1.0115544900285496,0.5707070707070707
99,100,58405,58405,57941,55290,49206,52893,65330,0.8939996938619317,1.0,0.57
100,-,248872,247792,248293,205255,193780,195692,317583,0.8376557160132743,1.0012840852531157,0.57
